time x y z
0, -nan, -nan, -nan
0.001, nan, nan, nan
0.002, nan, nan, nan
0.003, nan, nan, nan
0.004, nan, nan, nan
0.005, nan, nan, nan
0.006, nan, nan, nan
0.007, nan, nan, nan
0.008, nan, nan, nan
0.009, nan, nan, nan
0.01, nan, nan, nan
0.011, nan, nan, nan
0.012, nan, nan, nan
0.013, nan, nan, nan
0.014, nan, nan, nan
0.015, nan, nan, nan
0.016, nan, nan, nan
0.017, nan, nan, nan
0.018, nan, nan, nan
0.019, nan, nan, nan
0.02, nan, nan, nan
0.021, nan, nan, nan
0.022, nan, nan, nan
0.023, nan, nan, nan
0.024, nan, nan, nan
0.025, nan, nan, nan
0.026, nan, nan, nan
0.027, nan, nan, nan
0.028, nan, nan, nan
0.029, nan, nan, nan
0.03, nan, nan, nan
0.031, nan, nan, nan
0.032, nan, nan, nan
0.033, nan, nan, nan
0.034, nan, nan, nan
0.035, nan, nan, nan
0.036, nan, nan, nan
0.037, nan, nan, nan
0.038, nan, nan, nan
0.039, nan, nan, nan
0.04, nan, nan, nan
0.041, nan, nan, nan
0.042, nan, nan, nan
0.043, nan, nan, nan
0.044, nan, nan, nan
0.045, nan, nan, nan
0.046, nan, nan, nan
0.047, nan, nan, nan
0.048, nan, nan, nan
0.049, nan, nan, nan
0.05, nan, nan, nan
0.051, nan, nan, nan
0.052, nan, nan, nan
0.053, nan, nan, nan
0.054, nan, nan, nan
0.055, nan, nan, nan
0.056, nan, nan, nan
0.057, nan, nan, nan
0.058, nan, nan, nan
0.059, nan, nan, nan
0.06, nan, nan, nan
0.061, nan, nan, nan
0.062, nan, nan, nan
0.0629999, nan, nan, nan
0.064, -9.53674e-07, 0, -7.15256e-07
0.065, 0, 1.90735e-06, 2.5034e-06
0.066, -9.53674e-07, -1.90735e-06, 1.90735e-06
0.067, 0, 0, 4.52995e-06
0.068, 0, 0, 1.07288e-06
0.069, 9.53674e-07, 0, -3.69549e-06
0.07, 9.53674e-07, 0, -2.38419e-07
0.071, 9.53674e-07, 3.8147e-06, -2.14577e-06
0.072, 0, 0, 8.34465e-07
0.073, 9.53674e-07, 1.90735e-06, -2.5034e-06
0.074, 9.53674e-07, 1.90735e-06, 1.43051e-06
0.075, -9.53674e-07, 0, 9.53674e-07
0.076, 0, 0, 2.5034e-06
0.077, 9.53674e-07, 1.90735e-06, 2.6226e-06
0.078, 0, 0, 2.14577e-06
0.079, 9.53674e-07, 0, -2.98023e-06
0.08, 9.53674e-07, 0, -1.19209e-07
0.081, 9.53674e-07, 0, 9.53674e-07
0.082, 0, 0, 5.96046e-07
0.083, 9.53674e-07, 1.90735e-06, 5.96046e-07
0.084, 0, -1.90735e-06, -1.19209e-06
0.085, 0, 0, 1.19209e-06
0.086, 0, 0, -1.07288e-06
0.087, 0, 0, 1.43051e-06
0.088, 0, 0, 0
0.089, 0, 0, -8.34465e-07
0.09, 0, 1.90735e-06, 2.14577e-06
0.091, -9.53674e-07, 0, 1.19209e-06
0.092, 0, 0, 1.3113e-06
0.093, -9.53674e-07, 0, -4.76837e-07
0.094, 0, 1.90735e-06, 2.38419e-06
0.095, -9.53674e-07, -1.90735e-06, -1.78814e-06
0.096, 9.53674e-07, 0, 2.14577e-06
0.097, 0, 1.90735e-06, -5.96046e-07
0.098, -9.53674e-07, 0, -1.07288e-06
0.099, -9.53674e-07, 0, -4.76837e-07
0.1, 0, 0, -3.57628e-07
0.101, 9.53674e-07, 0, 2.38419e-07
0.102, 0, -1.90735e-06, -2.02656e-06
0.103, 0, 0, -1.19209e-07
0.104, 9.53674e-07, 0, 1.43051e-06
0.105, 0, 0, -8.34465e-07
0.106, -9.53674e-07, -1.90735e-06, -3.09944e-06
0.107, -9.53674e-07, 0, 2.38419e-07
0.108, 0, 1.90735e-06, 2.26498e-06
0.109, 0, 0, 3.8147e-06
0.11, 0, 0, 5.96046e-07
0.111, 9.53674e-07, 0, 2.38419e-07
0.112, 9.53674e-07, 0, 1.3113e-06
0.113, -9.53674e-07, 0, 8.34465e-07
0.114, 0, 0, 0
0.115, -9.53674e-07, 0, 1.07288e-06
0.116, 0, 0, -2.38419e-07
0.117, -9.53674e-07, 0, -2.02656e-06
0.118, 0, 0, 9.53674e-07
0.119, 9.53674e-07, 1.90735e-06, 2.02656e-06
0.12, -9.53674e-07, -1.90735e-06, -1.66893e-06
0.121, 2.86102e-06, 1.90735e-06, 4.17233e-06
0.122, 0, 0, 1.43051e-06
0.123, 0, 0, -1.43051e-06
0.124, 9.53674e-07, 0, 1.54972e-06
0.125, 0, 9.53674e-07, 1.66893e-06
0.126, -1.90735e-06, -1.90735e-06, -1.54972e-06
0.127, 0, -9.53674e-07, 4.76837e-07
0.128, 0, 0, 1.07288e-06
0.129, -9.53674e-07, 0, -7.15256e-07
0.13, 1.90735e-06, 1.90735e-06, 1.78814e-06
0.131, -9.53674e-07, -9.53674e-07, 4.76837e-07
0.132, 0, 0, 1.54972e-06
0.133, 0, 0, 1.19209e-06
0.134, -9.53674e-07, -9.53674e-07, -2.98023e-06
0.135, -9.53674e-07, -9.53674e-07, 4.76837e-07
0.136, 0, -9.53674e-07, 1.07288e-06
0.137, 1.90735e-06, 9.53674e-07, 2.6226e-06
0.138, -9.53674e-07, 0, -1.54972e-06
0.139, 0, -9.53674e-07, -9.53674e-07
0.14, -9.53674e-07, -9.53674e-07, -3.69549e-06
0.141, 9.53674e-07, 0, 7.15256e-07
0.142, 1.90735e-06, 9.53674e-07, 2.26498e-06
0.143, 0, 9.53674e-07, 3.45707e-06
0.144, 1.90735e-06, 0, 4.05312e-06
0.145, 2.86102e-06, 1.90735e-06, 4.17233e-06
0.146, -9.53674e-07, 0, -1.43051e-06
0.147, -1.90735e-06, 0, -3.21865e-06
0.148, 0, -9.53674e-07, -7.15256e-07
0.149, 0, 9.53674e-07, -5.96046e-07
0.15, -9.53674e-07, -9.53674e-07, -3.33786e-06
0.151, -2.86102e-06, -1.90735e-06, -3.21865e-06
0.152, -1.90735e-06, 0, -2.02656e-06
0.153, 9.53674e-07, 0, 1.90735e-06
0.154, 0, 0, -1.3113e-06
0.155, 0, -9.53674e-07, -2.38419e-07
0.156, 0, 0, 8.34465e-07
0.157, -9.53674e-07, 9.53674e-07, -1.3113e-06
0.158, 0, 0, -3.09944e-06
0.159, 0, 0, 3.57628e-07
0.16, 9.53674e-07, 0, 1.43051e-06
0.161, 1.90735e-06, 9.53674e-07, 2.02656e-06
0.162, -1.90735e-06, -9.53674e-07, -2.98023e-06
0.163, -1.90735e-06, 0, -9.53674e-07
0.164, 9.53674e-07, 0, -1.3113e-06
0.165, -9.53674e-07, -9.53674e-07, -1.66893e-06
0.166, 0, 9.53674e-07, 8.34465e-07
0.167, 2.86102e-06, 9.53674e-07, 2.5034e-06
0.168, 0, 0, 2.38419e-07
0.169, 0, 0, 3.57628e-07
0.17, 0, 0, -1.78814e-06
0.171, -9.53674e-07, 0, -2.38419e-07
0.172, 9.53674e-07, 0, 3.69549e-06
0.173, -9.53674e-07, 0, -2.38419e-06
0.174, 9.53674e-07, 9.53674e-07, 2.6226e-06
0.175, 9.53674e-07, 0, 8.34465e-07
0.176, 0, 0, -4.76837e-07
0.177, -9.53674e-07, 0, -7.15256e-07
0.178, 9.53674e-07, 0, 8.34465e-07
0.179, -1.90735e-06, 9.53674e-07, -4.76837e-07
0.18, 9.53674e-07, -9.53674e-07, 2.14577e-06
0.181, -1.90735e-06, -9.53674e-07, -1.07288e-06
0.182, 9.53674e-07, 9.53674e-07, 1.19209e-07
0.183, -1.90735e-06, -9.53674e-07, -2.38419e-07
0.184, 1.90735e-06, 0, 3.69549e-06
0.185, 0, 0, -1.3113e-06
0.186, 0, 0, 2.38419e-07
0.187, -9.53674e-07, 9.53674e-07, 0
0.188, -1.90735e-06, 0, -3.57628e-07
0.189, 0, 0, -1.19209e-06
0.19, -9.53674e-07, 0, -2.38419e-06
0.191, -2.86102e-06, 0, -3.69549e-06
0.192, -1.90735e-06, -9.53674e-07, -1.07288e-06
0.193, 0, -9.53674e-07, -9.53674e-07
0.194, 9.53674e-07, 0, 7.15256e-07
0.195, 0, 0, -1.19209e-07
0.196, 9.53674e-07, -9.53674e-07, -3.57628e-07
