time union1 union2 union3
0, 90, -nan, -nan
0.001, 89.8803, nan, nan
0.002, 89.7595, nan, nan
0.003, 89.6376, nan, nan
0.004, 89.5146, nan, nan
0.005, 89.3905, nan, nan
0.006, 89.2653, nan, nan
0.007, 89.1389, nan, nan
0.008, 89.0114, nan, nan
0.009, 88.8828, nan, nan
0.01, 88.7529, nan, nan
0.011, 88.6218, nan, nan
0.012, 88.4896, nan, nan
0.013, 88.3561, nan, nan
0.014, 88.2213, nan, nan
0.015, 88.0853, nan, nan
0.016, 87.948, nan, nan
0.017, 87.8094, nan, nan
0.018, 87.6695, nan, nan
0.019, 87.5283, nan, nan
0.02, 87.3857, nan, nan
0.021, 87.2417, nan, nan
0.022, 87.0964, nan, nan
0.023, 86.9496, nan, nan
0.024, 86.8015, nan, nan
0.025, 86.6519, nan, nan
0.026, 86.5008, nan, nan
0.027, 86.3482, nan, nan
0.028, 86.1942, nan, nan
0.029, 86.0386, nan, nan
0.03, 85.8815, nan, nan
0.031, 85.7228, nan, nan
0.032, 85.5625, nan, nan
0.033, 85.4006, nan, nan
0.034, 85.2371, nan, nan
0.035, 85.0719, nan, nan
0.036, 84.9051, nan, nan
0.037, 84.7365, nan, nan
0.038, 84.5662, nan, nan
0.039, 84.3942, nan, nan
0.04, 84.2204, nan, nan
0.041, 84.0448, nan, nan
0.042, 83.8674, nan, nan
0.043, 83.6882, nan, nan
0.044, 83.507, nan, nan
0.045, 83.324, nan, nan
0.046, 83.1391, nan, nan
0.047, 82.9521, nan, nan
0.048, 82.7633, nan, nan
0.049, 82.5724, nan, nan
0.05, 82.3794, nan, nan
0.051, 82.1844, nan, nan
0.052, 81.9873, nan, nan
0.053, 81.7881, nan, nan
0.054, 81.5867, nan, nan
0.055, 81.3831, nan, nan
0.056, 81.1773, nan, nan
0.057, 80.9693, nan, nan
0.058, 80.759, nan, nan
0.059, 80.5463, nan, nan
0.06, 80.3314, nan, nan
0.061, 80.114, nan, nan
0.062, 79.8942, nan, nan
0.0629999, 79.672, nan, nan
0.064, 79.4473, 1.4889, 157.571
0.065, 79.2201, 7.48859, 147.564
0.066, 78.9903, 11.9036, 140.15
0.067, 78.7579, 15.5195, 134.052
0.068, 78.5229, 18.6284, 128.792
0.069, 78.2852, 21.3773, 124.131
0.07, 78.0448, 23.8544, 119.923
0.071, 77.8017, 26.1154, 116.079
0.072, 77.5557, 28.2002, 112.53
0.073, 77.307, 30.1364, 109.233
0.074, 77.0554, 31.9462, 106.15
0.075, 76.8008, 33.6467, 103.253
0.076, 76.5434, 35.2509, 100.52
0.077, 76.283, 36.7694, 97.9341
0.078, 76.0195, 38.2119, 95.4783
0.079, 75.7529, 39.5859, 93.1404
0.08, 75.4832, 40.8975, 90.91
0.081, 75.2105, 42.152, 88.7784
0.082, 74.9344, 43.3545, 86.7368
0.083, 74.6551, 44.5092, 84.7783
0.084, 74.3726, 45.6194, 82.8974
0.085, 74.0868, 46.6885, 81.088
0.086, 73.7975, 47.7196, 79.3453
0.087, 73.5048, 48.715, 77.6652
0.088, 73.2085, 49.6773, 76.0432
0.089, 72.9089, 50.6078, 74.4771
0.09, 72.6056, 51.5093, 72.9623
0.091, 72.2987, 52.383, 71.4966
0.092, 71.9881, 53.2307, 70.077
0.093, 71.6738, 54.0538, 68.7011
0.094, 71.3558, 54.8531, 67.3675
0.095, 71.0339, 55.6307, 66.0728
0.096, 70.7082, 56.3871, 64.8158
0.097, 70.3785, 57.1236, 63.5946
0.098, 70.0449, 57.841, 62.4076
0.099, 69.7074, 58.5401, 61.2536
0.1, 69.3657, 59.2219, 60.1307
0.101, 69.02, 59.8872, 59.0377
0.102, 68.67, 60.5369, 57.9729
0.103, 68.3159, 61.1711, 56.9363
0.104, 67.9575, 61.7909, 55.9258
0.105, 67.5947, 62.397, 54.9404
0.106, 67.2276, 62.9896, 53.9797
0.107, 66.8562, 63.5692, 53.0427
0.108, 66.4802, 64.1366, 52.1281
0.109, 66.0997, 64.6922, 51.2354
0.11, 65.7147, 65.2362, 50.3639
0.111, 65.3251, 65.7693, 49.5128
0.112, 64.931, 66.2914, 48.6817
0.113, 64.5318, 66.8038, 47.869
0.114, 64.1282, 67.3058, 47.0753
0.115, 63.7196, 67.7985, 46.299
0.116, 63.3063, 68.2819, 45.5404
0.117, 62.888, 68.7564, 44.7982
0.118, 62.465, 69.2219, 44.0728
0.119, 62.037, 69.6791, 43.3631
0.12, 61.6037, 70.1285, 42.6684
0.121, 61.1657, 70.5696, 41.989
0.122, 60.7224, 71.0033, 41.3238
0.123, 60.2739, 71.4295, 40.6728
0.124, 59.8205, 71.8484, 40.0357
0.125, 59.3619, 72.2602, 39.4121
0.126, 58.8979, 72.6652, 38.8013
0.127, 58.4287, 73.0636, 38.2032
0.128, 57.9543, 73.4553, 37.6177
0.129, 57.4743, 73.8411, 37.0439
0.13, 56.9895, 74.2202, 36.4826
0.131, 56.4992, 74.5933, 35.9327
0.132, 56.0033, 74.9609, 35.3937
0.133, 55.5022, 75.3224, 34.866
0.134, 54.9958, 75.6783, 34.3492
0.135, 54.4837, 76.0289, 33.8426
0.136, 53.9665, 76.3738, 33.3468
0.137, 53.4436, 76.7137, 32.8606
0.138, 52.9159, 77.048, 32.3851
0.139, 52.3822, 77.3775, 31.9187
0.14, 51.8432, 77.7019, 31.462
0.141, 51.299, 78.0214, 31.0148
0.142, 50.7494, 78.3361, 30.5767
0.143, 50.1944, 78.6459, 30.1477
0.144, 49.6343, 78.951, 29.7277
0.145, 49.0688, 79.2514, 29.3162
0.146, 48.4985, 79.547, 28.9137
0.147, 47.9225, 79.8383, 28.5193
0.148, 47.3416, 80.1252, 28.1333
0.149, 46.7553, 80.4076, 27.7554
0.15, 46.164, 80.6857, 27.3854
0.151, 45.5678, 80.9593, 27.0235
0.152, 44.9669, 81.2286, 26.6695
0.153, 44.3609, 81.4936, 26.323
0.154, 43.7501, 81.7544, 25.9841
0.155, 43.1345, 82.011, 25.6527
0.156, 42.5146, 82.2634, 25.3287
0.157, 41.8904, 82.5112, 25.0122
0.158, 41.2609, 82.7555, 24.7024
0.159, 40.6277, 82.9952, 24.4
0.16, 39.9903, 83.2309, 24.1046
0.161, 39.3491, 83.4622, 23.8162
0.162, 38.7034, 83.6895, 23.5345
0.163, 38.0544, 83.9127, 23.2597
0.164, 37.4015, 84.1317, 22.9915
0.165, 36.745, 84.3466, 22.7299
0.166, 36.0851, 84.5574, 22.4748
0.167, 35.4213, 84.7642, 22.226
0.168, 34.7547, 84.9667, 21.9836
0.169, 34.0857, 85.1648, 21.7478
0.17, 33.4137, 85.359, 21.5181
0.171, 32.7388, 85.549, 21.2946
0.172, 32.0615, 85.7347, 21.0772
0.173, 31.3821, 85.9163, 20.8658
0.174, 30.7008, 86.0936, 20.6606
0.175, 30.017, 86.2669, 20.461
0.176, 29.332, 86.4357, 20.2675
0.177, 28.6451, 86.6004, 20.0797
0.178, 27.9566, 86.7611, 19.8975
0.179, 27.2668, 86.9174, 19.721
0.18, 26.5772, 87.0692, 19.5504
0.181, 25.8858, 87.2169, 19.3851
0.182, 25.1942, 87.3604, 19.2253
0.183, 24.5025, 87.4995, 19.0711
0.184, 23.8101, 87.6343, 18.9222
0.185, 23.1173, 87.765, 18.7784
0.186, 22.4254, 87.8914, 18.6399
0.187, 21.7337, 88.0134, 18.5067
0.188, 21.0425, 88.1314, 18.3785
0.189, 20.3533, 88.2447, 18.2556
0.19, 19.6639, 88.3542, 18.1374
0.191, 18.976, 88.4592, 18.0243
0.192, 18.2886, 88.5602, 17.9158
0.193, 17.6044, 88.6569, 17.8123
0.194, 16.9213, 88.7494, 17.7135
0.195, 16.2396, 88.8378, 17.6192
0.196, 15.5607, 88.922, 17.5296
0.197, 14.884, 89.0022, 17.4445
0.198, 14.2096, 89.0782, 17.3638
0.199, 13.5382, 89.1503, 17.2875
0.2, 12.8693, 89.2182, 17.2156
0.201, 12.2036, 89.2824, 17.1478
0.202, 11.541, 89.3427, 17.0841
0.203, 10.8816, 89.3989, 17.0246
0.204, 10.2258, 89.4515, 16.969
0.205, 9.57348, 89.5002, 16.9174
0.206, 8.92493, 89.5452, 16.8697
0.207, 8.28025, 89.5867, 16.8257
0.208, 7.63955, 89.6245, 16.7854
0.209, 7.00302, 89.6587, 16.7488
0.21, 6.37061, 89.6895, 16.7158
0.211, 5.74249, 89.7168, 16.6861
0.212, 5.11886, 89.7408, 16.6599
0.213, 4.49975, 89.7615, 16.6371
0.214, 3.88535, 89.7791, 16.6174
0.215, 3.27553, 89.7935, 16.601
0.216, 2.67063, 89.8046, 16.5877
0.217, 2.07047, 89.8129, 16.5774
0.218, 1.47523, 89.8183, 16.57
0.219, 0.885041, 89.8207, 16.5655
0.22, 0.299902, 89.8204, 16.5638
0.221, -0.280073, 89.8173, 16.5649
0.222, -0.854897, 89.8115, 16.5687
0.223, -1.4246, 89.8031, 16.575
0.224, -1.98907, 89.7925, 16.5838
0.225, -2.54806, 89.7792, 16.5951
0.226, -3.10191, 89.7636, 16.6088
0.227, -3.65051, 89.7457, 16.6247
0.228, -4.19364, 89.7256, 16.643
0.229, -4.73137, 89.7034, 16.6634
0.23, -5.26377, 89.6789, 16.686
0.231, -5.79076, 89.6525, 16.7105
0.232, -6.31227, 89.6243, 16.737
0.233, -6.82852, 89.594, 16.7656
0.234, -7.33934, 89.5622, 16.7959
0.235, -7.84466, 89.5283, 16.8281
0.236, -8.3447, 89.4931, 16.8619
0.237, -8.83944, 89.456, 16.8976
0.238, -9.32871, 89.4173, 16.9348
0.239, -9.81258, 89.3772, 16.9736
0.24, -10.2913, 89.3359, 17.0139
0.241, -10.7646, 89.293, 17.0557
0.242, -11.2327, 89.2488, 17.0989
0.243, -11.6955, 89.2034, 17.1434
0.244, -12.1532, 89.1565, 17.1894
0.245, -12.6056, 89.1087, 17.2366
0.246, -13.0529, 89.0598, 17.2849
0.247, -13.4951, 89.0099, 17.3345
0.248, -13.9323, 88.9587, 17.3853
0.249, -14.3643, 88.9069, 17.437
0.25, -14.7913, 88.8539, 17.4899
0.251, -15.2135, 88.8003, 17.5437
0.252, -15.6306, 88.7456, 17.5986
0.253, -16.0429, 88.6902, 17.6543
0.254, -16.4504, 88.6341, 17.711
0.255, -16.8531, 88.5774, 17.7685
0.256, -17.2511, 88.5199, 17.8268
0.257, -17.6443, 88.4618, 17.8859
0.258, -18.033, 88.4031, 17.9457
0.259, -18.417, 88.3437, 18.0064
0.26, -18.7965, 88.2839, 18.0676
0.261, -19.1715, 88.2237, 18.1295
0.262, -19.542, 88.163, 18.192
0.263, -19.9081, 88.1017, 18.2552
0.264, -20.27, 88.0402, 18.3189
0.265, -20.6274, 87.9781, 18.3832
0.266, -20.9806, 87.9159, 18.4479
0.267, -21.3296, 87.8532, 18.5132
0.268, -21.6745, 87.7902, 18.5789
0.269, -22.0152, 87.7272, 18.645
0.27, -22.352, 87.6637, 18.7116
0.271, -22.6846, 87.6, 18.7786
0.272, -23.0134, 87.5361, 18.8459
0.273, -23.3382, 87.472, 18.9136
0.274, -23.6592, 87.4078, 18.9816
0.275, -23.9764, 87.3434, 19.0499
0.276, -24.2899, 87.2787, 19.1186
0.277, -24.5996, 87.2141, 19.1875
0.278, -24.9056, 87.1494, 19.2566
0.279, -25.2081, 87.0845, 19.3261
0.28, -25.507, 87.0197, 19.3956
0.281, -25.8024, 86.9547, 19.4655
0.282, -26.0943, 86.8898, 19.5355
0.283, -26.3828, 86.8248, 19.6057
0.284, -26.6678, 86.7597, 19.676
0.285, -26.9496, 86.6947, 19.7465
0.286, -27.2282, 86.6298, 19.8171
0.287, -27.5034, 86.5649, 19.8879
0.288, -27.7755, 86.4999, 19.9587
0.289, -28.0443, 86.4351, 20.0297
0.29, -28.3102, 86.3701, 20.1007
0.291, -28.5729, 86.3054, 20.1719
0.292, -28.8326, 86.2408, 20.243
0.293, -29.0894, 86.1762, 20.3142
0.294, -29.3431, 86.1116, 20.3855
0.295, -29.594, 86.0473, 20.4567
0.296, -29.842, 85.9829, 20.5281
0.297, -30.0872, 85.9189, 20.5994
0.298, -30.3296, 85.8547, 20.6707
0.299, -30.5694, 85.7908, 20.742
0.3, -30.8064, 85.7269, 20.8133
0.301, -31.0407, 85.6634, 20.8846
0.302, -31.2725, 85.5999, 20.9558
0.303, -31.5016, 85.5366, 21.027
0.304, -31.7281, 85.4734, 21.0982
0.305, -31.9522, 85.4103, 21.1693
0.306, -32.1738, 85.3473, 21.2404
0.307, -32.3929, 85.2846, 21.3114
0.308, -32.6097, 85.2222, 21.3823
0.309, -32.824, 85.1597, 21.4532
0.31, -33.036, 85.0976, 21.5239
0.311, -33.2457, 85.0357, 21.5946
0.312, -33.4531, 84.9738, 21.6652
0.313, -33.6583, 84.9121, 21.7358
0.314, -33.8612, 84.8509, 21.8061
0.314999, -34.062, 84.7896, 21.8764
0.315999, -34.2606, 84.7285, 21.9466
0.316999, -34.4572, 84.6677, 22.0167
0.317999, -34.6516, 84.607, 22.0866
0.318999, -34.8439, 84.5466, 22.1564
