time, x, y, z
0, 3, 6, 5
0.001, 3, 6, 5.001
0.002, 3, 6, 5.002
0.003, 3, 5.99999, 5.003
0.004, 3, 5.99998, 5.004
0.005, 3, 5.99998, 5.005
0.006, 3, 5.99996, 5.006
0.007, 3, 5.99995, 5.007
0.008, 3, 5.99994, 5.008
0.009, 3, 5.99992, 5.009
0.01, 3, 5.9999, 5.01
0.011, 3, 5.99988, 5.011
0.012, 3, 5.99986, 5.012
0.013, 3, 5.99983, 5.013
0.014, 3, 5.9998, 5.014
0.015, 3, 5.99977, 5.015
0.016, 3, 5.99974, 5.016
0.017, 3, 5.99971, 5.017
0.018, 3, 5.99968, 5.018
0.019, 3, 5.99964, 5.019
0.02, 3, 5.9996, 5.02
0.021, 3, 5.99956, 5.021
0.022, 3, 5.99952, 5.022
0.023, 3, 5.99947, 5.023
0.024, 3, 5.99942, 5.024
0.025, 3, 5.99937, 5.025
0.026, 3, 5.99932, 5.026
0.027, 3, 5.99927, 5.027
0.028, 3, 5.99922, 5.028
0.029, 3, 5.99916, 5.029
0.03, 3, 5.9991, 5.03
0.031, 3, 5.99904, 5.03099
0.032, 3, 5.99898, 5.03199
0.033, 3, 5.99891, 5.03299
0.034, 3, 5.99884, 5.03399
0.035, 3, 5.99878, 5.03499
0.036, 3, 5.9987, 5.03599
0.037, 3, 5.99863, 5.03699
0.038, 3, 5.99856, 5.03799
0.039, 3, 5.99848, 5.03899
0.04, 3, 5.9984, 5.03999
0.041, 3, 5.99832, 5.04099
0.042, 3, 5.99824, 5.04199
0.043, 3, 5.99815, 5.04299
0.044, 3, 5.99806, 5.04399
0.045, 3, 5.99798, 5.04498
0.046, 3, 5.99788, 5.04598
0.047, 3, 5.99779, 5.04698
0.048, 3, 5.9977, 5.04798
0.049, 3, 5.9976, 5.04898
0.05, 3, 5.9975, 5.04998
0.051, 3, 5.9974, 5.05098
0.052, 3, 5.9973, 5.05198
0.053, 3, 5.99719, 5.05298
0.054, 3, 5.99708, 5.05397
0.055, 3, 5.99698, 5.05497
0.056, 3, 5.99686, 5.05597
0.057, 3, 5.99675, 5.05697
0.058, 3, 5.99664, 5.05797
0.059, 3, 5.99652, 5.05897
0.06, 3, 5.9964, 5.05996
0.061, 3, 5.99628, 5.06096
0.062, 3, 5.99616, 5.06196
0.0629999, 3, 5.99603, 5.06296
0.064, 3, 5.99591, 5.06396
0.065, 3, 5.99578, 5.06495
0.066, 3, 5.99565, 5.06595
0.067, 3, 5.99551, 5.06695
0.068, 3, 5.99538, 5.06795
0.069, 3, 5.99524, 5.06895
0.07, 3, 5.9951, 5.06994
0.071, 3, 5.99496, 5.07094
0.072, 3, 5.99482, 5.07194
0.073, 3, 5.99467, 5.07294
0.074, 3, 5.99453, 5.07393
0.075, 3, 5.99438, 5.07493
0.076, 3, 5.99423, 5.07593
0.077, 3, 5.99407, 5.07692
