time, 	x, 	y, 	z
2, 7, -inf, inf
2.001, 7, -815.112, 1828.76
2.002, 7, -398.965, 919.463
2.003, 7, -260.249, 616.363
2.004, 7, -190.89, 464.813
2.005, 7, -149.275, 373.882
2.006, 7, -121.532, 313.261
2.007, 7, -101.715, 269.961
2.008, 7, -86.8519, 237.485
2.009, 7, -75.2919, 212.226
2.01, 7, -66.0438, 192.018
2.011, 7, -58.477, 175.485
2.012, 7, -52.1714, 161.706
2.013, 7, -46.8357, 150.048
2.014, 7, -42.2622, 140.055
2.015, 7, -38.2985, 131.394
2.016, 7, -34.8302, 123.815
2.017, 7, -31.7699, 117.128
2.018, 7, -29.0495, 111.184
2.019, 7, -26.6155, 105.866
2.02, 7, -24.4248, 101.079
2.021, 7, -22.4427, 96.7484
2.022, 7, -20.6408, 92.8112
2.023, 7, -18.9955, 89.2162
2.024, 7, -17.4873, 85.9207
2.025, 7, -16.0998, 82.8888
2.026, 7, -14.8189, 80.0901
2.027, 7, -13.6328, 77.4986
2.028, 7, -12.5315, 75.0922
2.029, 7, -11.5061, 72.8516
2.03, 7, -10.549, 70.7604
2.031, 7, -9.65358, 68.804
2.032, 7, -8.81415, 66.9698
2.033, 7, -8.02555, 65.2468
2.034, 7, -7.28332, 63.625
2.035, 7, -6.58349, 62.0959
2.036, 7, -5.92249, 60.6517
2.037, 7, -5.29721, 59.2855
2.038, 7, -4.70482, 57.9911
2.039, 7, -4.14278, 56.7631
2.04, 7, -3.60881, 55.5964
2.041, 7, -3.10087, 54.4867
2.042, 7, -2.61711, 53.4297
2.043, 7, -2.15582, 52.4218
2.044, 7, -1.71547, 51.4597
2.045, 7, -1.29469, 50.5403
2.046, 7, -0.892164, 49.6609
2.047, 7, -0.506754, 48.8188
2.048, 7, -0.137383, 48.0118
2.049, 7, 0.216925, 47.2377
2.05, 7, 0.557083, 46.4945
2.051, 7, 0.883923, 45.7804
2.052, 7, 1.1982, 45.0938
2.053, 7, 1.50064, 44.433
2.054, 7, 1.7919, 43.7967
2.055, 7, 2.07258, 43.1835
2.056, 7, 2.34326, 42.5922
2.057, 7, 2.60445, 42.0215
2.058, 7, 2.85666, 41.4706
2.059, 7, 3.10032, 40.9382
2.06, 7, 3.33589, 40.4236
2.061, 7, 3.56374, 39.9258
2.062, 7, 3.78426, 39.4441
2.063, 7, 3.9978, 38.9776
2.064, 7, 4.20467, 38.5257
2.065, 7, 4.4052, 38.0876
2.066, 7, 4.59966, 37.6628
2.067, 7, 4.78834, 37.2507
2.068, 7, 4.97148, 36.8506
2.069, 7, 5.14931, 36.4621
2.07, 7, 5.32209, 36.0847
2.071, 7, 5.49002, 35.7179
2.072, 7, 5.65329, 35.3613
2.073, 7, 5.8121, 35.0144
2.074, 7, 5.96663, 34.6768
2.075, 7, 6.11705, 34.3483
2.076, 7, 6.26353, 34.0283
2.077, 7, 6.40622, 33.7167
2.078, 7, 6.54526, 33.413
2.079, 7, 6.68079, 33.117
2.08, 7, 6.81295, 32.8283
2.081, 7, 6.94185, 32.5468
2.082, 7, 7.06762, 32.2721
2.083, 7, 7.19038, 32.004
2.084, 7, 7.31022, 31.7423
2.085, 7, 7.42725, 31.4867
2.086, 7, 7.54158, 31.237
2.087, 7, 7.65329, 30.9931
2.088, 7, 7.76246, 30.7547
2.089, 7, 7.8692, 30.5216
2.09, 7, 7.97358, 30.2937
2.091, 7, 8.07567, 30.0707
2.092, 7, 8.17556, 29.8526
2.093, 7, 8.27331, 29.6392
2.094, 7, 8.36898, 29.4303
2.095, 7, 8.46266, 29.2257
2.096, 7, 8.55439, 29.0255
2.097, 7, 8.64424, 28.8293
2.098, 7, 8.73227, 28.6371
2.099, 7, 8.81854, 28.4488
2.1, 7, 8.90308, 28.2642
2.101, 7, 8.98596, 28.0832
2.102, 7, 9.06723, 27.9058
2.103, 7, 9.14693, 27.7319
2.104, 7, 9.2251, 27.5612
2.105, 7, 9.3018, 27.3938
2.106, 7, 9.37706, 27.2295
2.107, 7, 9.45091, 27.0683
2.108, 7, 9.52342, 26.91
2.109, 7, 9.5946, 26.7547
2.11, 7, 9.6645, 26.6021
2.111, 7, 9.73314, 26.4523
2.112, 7, 9.80058, 26.3052
2.113, 7, 9.86682, 26.1606
2.114, 7, 9.93191, 26.0185
2.115, 7, 9.99588, 25.8789
2.116, 7, 10.0588, 25.7417
2.117, 7, 10.1206, 25.6069
2.118, 7, 10.1813, 25.4743
2.119, 7, 10.2411, 25.3439
2.12, 7, 10.2999, 25.2157
2.121, 7, 10.3577, 25.0895
2.122, 7, 10.4145, 24.9655
2.123, 7, 10.4705, 24.8434
2.124, 7, 10.5256, 24.7233
2.125, 7, 10.5797, 24.6051
2.126, 7, 10.6331, 24.4888
2.127, 7, 10.6856, 24.3743
2.128, 7, 10.7373, 24.2615
2.129, 7, 10.7882, 24.1505
2.13, 7, 10.8383, 24.0412
2.131, 7, 10.8877, 23.9335
2.132, 7, 10.9363, 23.8275
2.133, 7, 10.9842, 23.723
2.134, 7, 11.0314, 23.6201
2.135, 7, 11.0779, 23.5187
2.136, 7, 11.1237, 23.4188
2.137, 7, 11.1689, 23.3203
2.138, 7, 11.2134, 23.2233
2.139, 7, 11.2573, 23.1276
2.14, 7, 11.3006, 23.0333
2.141, 7, 11.3432, 22.9403
2.142, 7, 11.3853, 22.8486
2.143, 7, 11.4268, 22.7582
2.144, 7, 11.4677, 22.669
2.145, 7, 11.5081, 22.581
2.146, 7, 11.5479, 22.4943
2.147, 7, 11.5872, 22.4087
2.148, 7, 11.6259, 22.3242
2.149, 7, 11.6642, 22.2409
2.15, 7, 11.7019, 22.1586
2.151, 7, 11.7392, 22.0775
2.152, 7, 11.7759, 21.9974
2.153, 7, 11.8122, 21.9183
2.154, 7, 11.848, 21.8403
2.155, 7, 11.8834, 21.7632
2.156, 7, 11.9183, 21.6872
2.157, 7, 11.9528, 21.6121
2.158, 7, 11.9869, 21.5379
2.159, 7, 12.0205, 21.4646
2.16, 7, 12.0538, 21.3923
2.161, 7, 12.0866, 21.3208
2.162, 7, 12.119, 21.2502
2.163, 7, 12.151, 21.1805
2.164, 7, 12.1827, 21.1116
2.165, 7, 12.214, 21.0436
2.166, 7, 12.2449, 20.9763
2.167, 7, 12.2754, 20.9098
2.168, 7, 12.3056, 20.8442
2.169, 7, 12.3354, 20.7793
2.17, 7, 12.3649, 20.7151
2.171, 7, 12.394, 20.6517
2.172, 7, 12.4228, 20.589
2.173, 7, 12.4513, 20.527
2.174, 7, 12.4795, 20.4658
2.175, 7, 12.5074, 20.4052
2.176, 7, 12.5349, 20.3453
2.177, 7, 12.5621, 20.2861
2.178, 7, 12.5891, 20.2275
2.179, 7, 12.6157, 20.1696
2.18, 7, 12.6421, 20.1123
2.181, 7, 12.6681, 20.0556
2.182, 7, 12.6939, 19.9995
2.183, 7, 12.7194, 19.9441
2.184, 7, 12.7447, 19.8892
2.185, 7, 12.7696, 19.8349
2.186, 7, 12.7944, 19.7812
2.187, 7, 12.8188, 19.7281
2.188, 7, 12.843, 19.6755
2.189, 7, 12.867, 19.6235
2.19, 7, 12.8907, 19.572
2.191, 7, 12.9141, 19.521
2.192, 7, 12.9374, 19.4706
2.193, 7, 12.9603, 19.4207
2.194, 7, 12.9831, 19.3713
2.195, 7, 13.0056, 19.3223
2.196, 7, 13.0279, 19.2739
2.197, 7, 13.05, 19.226
2.198, 7, 13.0719, 19.1785
2.199, 7, 13.0935, 19.1315
2.2, 7, 13.115, 19.085
2.201, 7, 13.1362, 19.0389
2.202, 7, 13.1573, 18.9932
2.203, 7, 13.1781, 18.948
2.204, 7, 13.1987, 18.9033
2.205, 7, 13.2192, 18.859
2.206, 7, 13.2394, 18.815
2.207, 7, 13.2595, 18.7716
2.208, 7, 13.2793, 18.7285
2.209, 7, 13.299, 18.6858
2.21, 7, 13.3185, 18.6435
2.211, 7, 13.3378, 18.6016
2.212, 7, 13.357, 18.5601
2.213, 7, 13.376, 18.519
2.214, 7, 13.3948, 18.4783
2.215, 7, 13.4134, 18.4379
2.216, 7, 13.4318, 18.3979
2.217, 7, 13.4501, 18.3583
2.218, 7, 13.4683, 18.319
2.219, 7, 13.4863, 18.2801
2.22, 7, 13.5041, 18.2415
2.221, 7, 13.5217, 18.2033
2.222, 7, 13.5392, 18.1653
2.223, 7, 13.5566, 18.1278
2.224, 7, 13.5738, 18.0905
2.225, 7, 13.5909, 18.0536
2.226, 7, 13.6078, 18.017
2.227, 7, 13.6246, 17.9807
2.228, 7, 13.6412, 17.9448
2.229, 7, 13.6577, 17.9091
2.23, 7, 13.674, 17.8737
2.231, 7, 13.6902, 17.8387
2.232, 7, 13.7063, 17.8039
2.233, 7, 13.7223, 17.7694
2.234, 7, 13.7381, 17.7352
2.235, 7, 13.7538, 17.7013
2.236, 7, 13.7693, 17.6677
2.237, 7, 13.7848, 17.6344
2.238, 7, 13.8001, 17.6013
2.239, 7, 13.8153, 17.5685
2.24, 7, 13.8303, 17.536
2.241, 7, 13.8453, 17.5037
2.242, 7, 13.8601, 17.4717
2.243, 7, 13.8748, 17.4399
2.244, 7, 13.8894, 17.4084
2.245, 7, 13.9039, 17.3772
2.246, 7, 13.9182, 17.3462
2.247, 7, 13.9325, 17.3154
2.248, 7, 13.9466, 17.2849
2.249, 7, 13.9607, 17.2546
2.25, 7, 13.9746, 17.2246
2.251, 7, 13.9884, 17.1948
2.252, 7, 14.0022, 17.1652
2.253, 7, 14.0158, 17.1358
2.254, 7, 14.0293, 17.1067
2.255, 7, 14.0427, 17.0778
2.256, 7, 14.056, 17.0491
2.257, 7, 14.0692, 17.0207
2.258, 7, 14.0823, 16.9924
2.259, 7, 14.0954, 16.9644
2.26, 7, 14.1083, 16.9366
2.261, 7, 14.1211, 16.9089
2.262, 7, 14.1339, 16.8815
2.263, 7, 14.1465, 16.8543
2.264, 7, 14.1591, 16.8273
2.265, 7, 14.1715, 16.8005
2.266, 7, 14.1839, 16.7739
