t,x,y,z
0,-39.5,325.41,-13.153
0.01,-38.5,324.51,-13.153
0.02,-37.5,323.61,-13.153
0.03,-36.5,322.71,-13.153
0.04,-35.5,321.81,-13.153
0.05,-34.5,320.91,-13.153
0.06,-33.5,320.01,-13.153
0.07,-32.5,319.11,-13.153
0.08,-31.5,318.21,-13.153
0.09,-30.5,317.31,-13.153
0.1,-29.5,316.41,-13.153
0.11,-28.5,315.51,-13.153
0.12,-27.5,314.61,-13.153
0.13,-26.5,313.71,-13.153
0.14,-25.5,312.81,-13.153
0.15,-24.5,311.91,-13.153
0.16,-23.5,311.01,-13.153
0.17,-22.5,310.11,-13.153
0.18,-21.5,309.21,-13.153
0.19,-20.5,308.31,-13.153
0.2,-19.5,307.41,-13.153
0.21,-18.5,306.51,-13.153
0.22,-17.5,305.61,-13.153
0.23,-16.5,304.71,-13.153
0.24,-15.5,303.81,-13.153
0.25,-14.5,302.91,-13.153
0.26,-13.5,302.01,-13.153
0.27,-12.5,301.11,-13.153
0.28,-11.5,300.21,-13.153
0.29,-10.5,299.31,-13.153
0.3,-9.5,298.41,-13.153
0.31,-8.5,297.51,-13.153
0.32,-7.5,296.61,-13.153
0.33,-6.5,295.71,-13.153
0.34,-5.5,294.81,-13.153
0.35,-4.5,293.91,-13.153
0.36,-3.5,293.01,-13.153
0.37,-2.5,292.11,-13.153
0.38,-1.5,291.21,-13.153
0.39,-0.5,290.31,-13.153
0.4,0.5,289.41,-13.153
0.41,1.5,288.51,-13.153
0.42,2.5,287.61,-13.153
0.43,3.5,286.71,-13.153
0.44,4.5,285.81,-13.153
0.45,5.5,284.91,-13.153
0.46,6.5,284.01,-13.153
0.47,7.5,283.11,-13.153
0.48,8.5,282.21,-13.153
0.49,9.5,281.31,-13.153
0.5,10.5,280.41,-13.153
0.51,11.5,279.51,-13.153
0.52,12.5,278.61,-13.153
0.53,13.5,277.71,-13.153
0.54,14.5,276.81,-13.153
0.55,15.5,275.91,-13.153
0.56,16.5,275.01,-13.153
0.57,17.5,274.11,-13.153
0.58,18.5,273.21,-13.153
0.59,19.5,272.31,-13.153
0.6,20.5,271.41,-13.153
0.61,21.5,270.51,-13.153
0.62,22.5,269.61,-13.153
0.63,23.5,268.71,-13.153
0.64,24.5,267.81,-13.153
0.65,25.5,266.91,-13.153
0.66,26.5,266.01,-13.153
0.67,27.5,265.11,-13.153
0.68,28.5,264.21,-13.153
0.69,29.5,263.31,-13.153
0.7,30.5,262.41,-13.153
0.71,31.5,261.51,-13.153
0.72,32.5,260.61,-13.153
0.73,33.5,259.71,-13.153
0.74,34.5,258.81,-13.153
0.75,35.5,257.91,-13.153
0.76,36.5,257.01,-13.153
0.77,37.5,256.11,-13.153
0.78,38.5,255.21,-13.153
0.79,39.5,254.31,-13.153
0.8,40.5,253.41,-13.153
0.81,41.5,252.51,-13.153
0.82,42.5,251.61,-13.153
0.83,43.5,250.71,-13.153
0.84,44.5,249.81,-13.153
0.85,45.5,248.91,-13.153
0.86,46.5,248.01,-13.153
0.87,47.5,247.11,-13.153
0.88,48.5,246.21,-13.153
