region              Horses-Ponies       Goats               Llamas-Alpacas      Rabbits             Bison-Buffalo       Elk-Wapiti          Domestic-Deer       Wild-Boars          Mink                total               
ON                  22.102%             56.588%             27.069%             55.160%             1.752%              4.747%              16.768%             0.000%              19.073%             28.834%             
NS                  0.733%              0.734%              0.902%              0.917%              0.000%              0.000%              0.000%              0.000%              45.921%             18.343%             
AB                  37.228%             12.148%             27.704%             2.842%              52.189%             53.967%             7.686%              0.000%              0.027%              15.293%             
QC                  6.733%              15.459%             12.843%             35.382%             1.462%              6.170%              58.745%             0.000%              1.682%              9.948%              
BC                  11.426%             6.305%              12.094%             3.087%              6.182%              0.000%              3.442%              0.000%              13.340%             9.668%              
SK                  13.663%             4.998%              13.196%             0.957%              38.417%             31.281%             12.836%             0.000%              0.000%              7.457%              
MB                  7.076%              3.153%              4.489%              1.185%              0.000%              3.677%              0.000%              0.000%              3.138%              3.477%              
NL                  0.048%              0.038%              0.138%              0.007%              0.000%              0.000%              0.000%              0.000%              8.606%              3.382%              
PE                  0.323%              0.109%              0.844%              0.014%              0.000%              0.000%              0.000%              0.000%              6.380%              2.592%              
NB                  0.520%              0.432%              0.558%              0.153%              0.000%              0.000%              0.523%              0.000%              1.833%              0.927%              
YT                  0.147%              0.037%              0.162%              0.282%              0.000%              0.159%              0.000%              0.000%              0.000%              0.076%              
NT                  0.000%              0.000%              0.000%              0.013%              0.000%              0.000%              0.000%              0.000%              0.000%              0.002%              
